case_id,source_id,model,sources,source_count,target,seed,parameter_count,source_size,feature_dimension,mmd_rbf_squared_5,mmd_rbf_5,mmd_rbf_gamma_5,centroid_l2_5,centroid_cosine_distance_5,covariance_frobenius_5,covariance_frobenius_normalized_5,source_feature_variance_5,target_feature_variance_5,feature_variance_difference_5,feature_mean_absolute_difference_5,feature_std_absolute_difference_5,mmd_rbf_squared_10,mmd_rbf_10,mmd_rbf_gamma_10,centroid_l2_10,centroid_cosine_distance_10,covariance_frobenius_10,covariance_frobenius_normalized_10,source_feature_variance_10,target_feature_variance_10,feature_variance_difference_10,feature_mean_absolute_difference_10,feature_std_absolute_difference_10
cnn3_cartoon-sketch_seed387_to_photo,cnn3_cartoon-sketch_seed387,cnn3,cartoon|sketch,2,photo,387,94151,4390,128,0.5052706311595295,0.7108239100927385,0.7706397483895743,0.7617005922307848,0.3956171597818934,0.1281066427209477,0.0010008331462574,0.2848566763646539,0.2536994024220157,0.0311572739426382,0.0426672975712284,0.017365022969264,0.4375191628248761,0.661452313341541,0.6729597817389699,0.7419236010162339,0.3788532951575397,0.1228893248431125,0.0009600728503368,0.2848566763646539,0.264812040131053,0.0200446362336009,0.0424641449459187,0.0174246452769448
cnn3_cartoon-sketch_seed42_to_art_painting,cnn3_cartoon-sketch_seed42,cnn3,cartoon|sketch,2,art_painting,42,94151,4390,128,0.4236464563855201,0.6508812920844477,0.7731616781993843,0.7116104207681859,0.3616220751492482,0.1146746985144908,0.0008958960821444,0.2867850356320961,0.3178787310426677,0.0310936954105715,0.0416321017539055,0.0163562964009869,0.4019674716426737,0.6340090469722603,0.6647312325090367,0.7243906667113725,0.3760164160429404,0.1122488662284392,0.0008769442674096,0.2867850356320961,0.3205881344907841,0.033803098858688,0.0422767678617267,0.0159433253043336
cnn3_cartoon-sketch_seed42_to_photo,cnn3_cartoon-sketch_seed42,cnn3,cartoon|sketch,2,photo,42,94151,4390,128,0.548585092020798,0.7406653036431489,0.8074614731057826,0.7930651812373986,0.422082452329326,0.1020790823739379,0.0007974928310463,0.2867850356320961,0.2288663804109041,0.0579186552211919,0.0449169549349269,0.0159220716612626,0.4763714408646872,0.6901966682509321,0.6812572344898411,0.7705072828029663,0.4070496379217519,0.1138066673324194,0.0008891145885345,0.2867850356320961,0.2574759729817326,0.0293090626503635,0.0442097861243515,0.0170594232496293
cnn3_cartoon_seed387_to_art_painting,cnn3_cartoon_seed387,cnn3,cartoon,1,art_painting,387,94151,1640,128,0.210130557332139,0.4583999970900295,0.8051696901817424,0.4676456700096047,0.1570049127134473,0.0840015416472511,0.0006562620441191,0.3103060028416032,0.301545009832272,0.0087609930093311,0.029573885848697,0.0100238372238729,0.2271077551328266,0.4765582389727688,0.7819489980633689,0.4770112567094656,0.1636649528029603,0.0848886479862078,0.0006631925623922,0.3103060028416032,0.3019123491077331,0.0083936537338701,0.0300934060616589,0.0099078542033679
cnn3_cartoon_seed387_to_photo,cnn3_cartoon_seed387,cnn3,cartoon,1,photo,387,94151,1640,128,0.3371416935291209,0.580639038929627,0.7674751869416369,0.6105259407892742,0.2509350797773054,0.1016518366027994,0.0007941549734593,0.3103060028416032,0.2176038001460651,0.092702202695538,0.0376204791506367,0.0148258912094738,0.3270247567110185,0.5718607843793964,0.7536242479251275,0.5784522540509333,0.2280597155078919,0.0962838860633246,0.0007522178598697,0.3103060028416032,0.2321019452324741,0.0782040576091291,0.0361718227026085,0.0133378046899252
cnn3_cartoon_seed387_to_sketch,cnn3_cartoon_seed387,cnn3,cartoon,1,sketch,387,94151,1640,128,0.2770017627654644,0.5263095693272776,0.9272107564504865,0.4664319773721514,0.1230670270846661,0.1015410009770409,0.0007932890701331,0.3103060028416032,0.0602583287630781,0.2500476740785251,0.029553385546699,0.0264111613649077,0.2854571753996338,0.5342819250167778,1.0043039992987453,0.4725870869484888,0.1271536675506747,0.1015353466877291,0.0007932448959978,0.3103060028416032,0.0632410964277945,0.2470649064138087,0.0300824998536644,0.0260560353788916
cnn3_cartoon_seed42_to_art_painting,cnn3_cartoon_seed42,cnn3,cartoon,1,art_painting,42,94151,1640,128,0.1332979210084008,0.3650998781270693,0.8856209463336835,0.3430922845421127,0.0806209857769507,0.0682284353764063,0.0005330346513781,0.2857654344105202,0.2611178027868341,0.0246476316236861,0.0214254116468674,0.0078894570848853,0.1366345550381407,0.369641116541627,0.8782460782094157,0.3537261467223523,0.0854864750880157,0.0679443524946282,0.0005308152538642,0.2857654344105202,0.256129612801437,0.0296358216090832,0.0221797613545398,0.0081935227297728
cnn3_cartoon_seed42_to_photo,cnn3_cartoon_seed42,cnn3,cartoon,1,photo,42,94151,1640,128,0.2598430014721788,0.5097479783894968,0.8799477701469227,0.4741055897289365,0.143624210857056,0.0823399843231383,0.0006432811275245,0.2857654344105202,0.1767023504269882,0.109063083983532,0.0298893849152009,0.0124656621727964,0.2268932098696925,0.4763330871036491,0.88022702683386,0.4438768422412842,0.1278063753208288,0.0764465098783657,0.0005972383584247,0.2857654344105202,0.1939827753196415,0.0917826590908787,0.0278164294652534,0.0111900697252153
cnn3_cartoon_seed42_to_sketch,cnn3_cartoon_seed42,cnn3,cartoon,1,sketch,42,94151,1640,128,0.231371525472563,0.4810109411152339,0.9962969015421008,0.3962408472051368,0.0867753091540065,0.1004680815008408,0.0007849068867253,0.2857654344105202,0.0637439999811563,0.2220214344293639,0.0249121413866977,0.0235291697321694,0.2431286732931046,0.4930807979359007,1.0914929479500308,0.4020659510442836,0.0899971961621367,0.1004267261272234,0.0007845837978689,0.2857654344105202,0.0665591361761869,0.2192062982343333,0.0253845973923649,0.0231741237631324
cnn3_photo-sketch_seed387_to_art_painting,cnn3_photo-sketch_seed387,cnn3,photo|sketch,2,art_painting,387,94151,3919,128,0.2454166228068106,0.4953954206558743,0.7495642401853527,0.5055995042293526,0.182518304962449,0.1284892722685892,0.0010038224395983,0.2965361180329894,0.3073610789923658,0.0108249609593764,0.029467504021607,0.0125481758872454,0.2378187032113867,0.4876665902144484,0.6782247667795429,0.5150650602714226,0.1879465969201997,0.1227265886407844,0.0009588014737561,0.2965361180329894,0.2940973665408142,0.0024387514921752,0.0300195221815254,0.0125034817415342
